verse	verse_part	token	pos	lemma	lemma_filtered	voc	domain	subdomain
Ps_1_1	1	['Μακάριος', 'ἀνήρ', 'ὃς', 'οὐκ', 'ἐπορεύθη', 'ἐν', 'βουλῇ', 'ἀσεβῶν']	['ADJ', 'NOUN', 'PRON', 'ADV', 'VERB', 'PREP', 'NOUN', 'ADJ']	['μακαριος', 'ανηρ', 'ος', 'ου', 'πορευομαι', 'εν', 'βουλη', 'ασεβης']	['μακαριος', 'ανηρ', 'πορευομαι', 'βουλη', 'ασεβης']	['ανηρ', 'ασεβης', 'βουλη', 'μακαριος', 'πορευομαι']	['Religious Activities', 'People', 'Communication', 'Attitudes and Emotions', 'Think', 'Physiological Processes and States', 'Kinship Terms', 'Linear Movement', 'Behavior and Related States']	['Males', 'Behavior,Conduct', 'Human Beings', 'Happy,Glad,Joyful', 'Travel,Journey', 'Move,Come/Go', 'Leave,Depart,Flee,Escape,Send', 'Kinship Relations Based upon Marriage', 'Live,Die', 'Religious Practice', 'Advise', 'To Intend,To Purpose,To Plan']
Ps_1_1	2	['καὶ', 'ἐν', 'ὁδῷ', 'ἁμαρτωλῶν', 'οὐκ', 'ἔστη', 'καὶ', 'ἐπὶ', 'καθέδραν', 'λοιμῶν', 'οὐκ', 'ἐκάθισεν']	['CON', 'PREP', 'NOUN', 'ADJ', 'ADV', 'VERB', 'CON', 'PREP', 'NOUN', 'ADJ', 'ADV', 'VERB']	['και', 'εν', 'οδος', 'αμαρτωλος', 'ου', 'ιστημι', 'και', 'επι', 'καθεδρα', 'λοιμος', 'ου', 'καθιζω']	['οδος', 'αμαρτωλος', 'ιστημι', 'καθεδρα', 'λοιμος', 'καθιζω']	['αμαρτωλος', 'ιστημι', 'καθεδρα', 'καθιζω', 'λοιμος', 'οδος']	['Ready,Prepared', 'Geographical Objects and Features', 'Hold a View,Believe,Trust', 'Status', 'Communication', 'Possess,Transfer,Exchange', 'Trouble,Hardship,Relief,Favorable Circumstances', 'Power,Force', 'Spacial Dimensions', 'Be,Become,Exist,Happen', 'Stances and Events Related to Stances', 'Think', 'Existence in Space', 'Artifacts', 'Aspect', 'Moral and Ethical Qualities and Related Behavior', 'Control,Rule', 'Physiological Processes and States', 'Linear Movement', 'Behavior and Related States']	['To Choose,To Select,To Prefer', 'High Status or Rank including persons of high status', 'Have an Opinion,Hold a View', 'State', 'Behavior,Conduct', 'Travel,Journey', 'Pay,Price,Cost', 'Cease,Stop', 'Recommend,Propose', 'Exist', 'Thoroughfares: Roads,Streets,Paths,etc.', 'Put,Place', 'Sin,Wrongdoing,Guilt', 'Be in a Place', 'Sickness,Disease,Weakness', 'Just,Righteous', 'Assign to a Role or Function', 'Stand', 'Furniture', 'Remain,Stay', 'Sit', 'Particular Patterns of Behavior', 'Trouble,Hardship,Distress', 'Specific Measures of Length']
Ps_1_2	1	['ἀλλ', 'ἢ', 'ἐν', 'τῷ', 'νόμῳ', 'κυρίου', 'τὸ', 'θέλημα', 'αὐτοῦ']	['CON', 'CON', 'PREP', 'DET', 'NOUN', 'NOUN', 'DET', 'NOUN', 'PRON']	['αλλα', 'η', 'εν', 'ο', 'νομος', 'κυριος', 'ο', 'θελημα', 'αυτος']	['νομος', 'κυριος', 'θελημα']	['θελημα', 'κυριος', 'νομος']	['Status', 'Communication', 'Attitudes and Emotions', 'Supernatural Beings and Powers', 'Think', 'Possess,Transfer,Exchange', 'Control,Rule']	['Desire,Want,Wish', 'Supernatural Beings', 'High Status or Rank including persons of high status', 'Written Language', 'Have,Possess,Property,Owner', 'Desire Strongly', 'Law,Regulation,Ordinance', 'To Intend,To Purpose,To Plan', 'Rule,Govern']
Ps_1_2	2	['καὶ', 'ἐν', 'τῷ', 'νόμῳ', 'αὐτοῦ', 'μελετήσει', 'ἡμέρας', 'καὶ', 'νυκτός']	['CON', 'PREP', 'DET', 'NOUN', 'PRON', 'VERB', 'NOUN', 'CON', 'NOUN']	['και', 'εν', 'ο', 'νομος', 'αυτος', 'μελεταω', 'ημερα', 'και', 'νυξ']	['νομος', 'μελεταω', 'ημερα', 'νυξ']	['ημερα', 'μελεταω', 'νομος', 'νυξ']	['Aspect', 'Communication', 'Courts and Legal Procedures', 'Time', 'Think', 'Physical Events and States']	['Darkness', 'Duration of Time without Reference to Points or Units of Time: Time,Spend Time,Always,Eternal,Old,Immediately,Young', 'Continue', 'Written Language', 'Law,Regulation,Ordinance', 'Court of Justice', 'Judge,Condemn,Acquit', 'To Think,Thought', 'To Intend,To Purpose,To Plan', 'Indefinite Units of Time: Age,Lifetime,Interval,Period', 'A Point of Time with Reference to Other Points of Time: Before,Long Ago,Now,At the Same Time,When,About,After', 'Light', 'Definite Units of Time: Year,Month,Week,Day,Hour']
Ps_1_3	1	['καὶ', 'ἔσται', 'ὡς', 'τὸ', 'ξύλον', 'τὸ', 'πεϕυτευμένον', 'παρὰ', 'τὰς', 'διεξόδους', 'τῶν', 'ὑδάτων']	['CON', 'VERB', 'ADV', 'DET', 'NOUN', 'CON', 'DET', 'PREP', 'DET', 'NOUN', 'DET', 'NOUN']	['και', 'ειμι', 'ως', 'ο', 'ξυλον', 'ο', 'φυτευω', 'παρα', 'ο', 'διεξοδος', 'ο', 'υδωρ']	['ξυλον', 'φυτευω', 'διεξοδος', 'υδωρ']	['διεξοδος', 'ξυλον', 'υδωρ', 'φυτευω']	['Geographical Objects and Features', 'Plants', 'Natural Substances', 'Agriculture', 'Artifacts']	['Trees', 'Instruments Used in Punishment and Execution', 'Water', 'Instruments Used in Binding and Fastening', 'Weapons and Armor', 'Plants That Are Not Trees', 'Wood and Wood Products', 'Thoroughfares: Roads,Streets,Paths,etc.']
Ps_1_3	2	['ὃ', 'τὸν', 'καρπὸν', 'αὐτοῦ', 'δώσει', 'ἐν', 'καιρῷ', 'αὐτοῦ']	['DET', 'DET', 'NOUN', 'PRON', 'VERB', 'PREP', 'NOUN', 'PRON']	['ος', 'ο', 'καρπος', 'αυτος', 'διδωμι', 'εν', 'καιρος', 'αυτος']	['καρπος', 'διδωμι', 'καιρος']	['διδωμι', 'καιρος', 'καρπος']	['Aspect', 'Religious Activities', 'Case', 'Perform,Do', 'Communication', 'Be,Become,Exist,Happen', 'Plants', 'Time', 'Possess,Transfer,Exchange', 'Control,Rule', 'Physiological Processes and States', 'Kinship Terms', 'Trouble,Hardship,Relief,Favorable Circumstances', 'Agriculture', 'Existence in Space', 'Association']	['Try,Attempt', 'Ripen,Produce Fruit,Bear Seed', 'A Point of Time without Reference to Other Points of Time: Time,Occasion,Ever,Often', 'Lend,Loan,Interest,Borrow,Bank', 'Agent in a Causative Role Marked by Verbs', 'Establish or Confirm a Relation', 'Dedicate,Consecrate', 'Pay,Price,Cost', 'Fruit Parts of Plants', 'Swear,Put Under Oath,Vow', 'Exist', 'Happen', 'Put,Place', 'Duration of Time without Reference to Points or Units of Time: Time,Spend Time,Always,Eternal,Old,Immediately,Young', 'To Cause To Experience', 'Favorable Circumstances or State', 'Assign to a Role or Function', 'Do,Perform', 'Speak,Talk', 'Give', 'Live,Die', 'Kinship Relations Involving Successive Generations', 'Indefinite Units of Time: Age,Lifetime,Interval,Period']
Ps_1_3	3	['καὶ', 'τὸ', 'ϕύλλον', 'αὐτοῦ', 'οὐκ', 'ἀπορρυήσεται', 'καὶ', 'πάντα', 'ὅσα', 'ἂν', 'ποιῇ', 'κατευοδωθήσεται']	['CON', 'DET', 'DET', 'PRON', 'ADV', 'VERB', 'CON', 'ADJ', 'PRON', 'ADV', 'VERB', 'VERB']	['και', 'ο', 'φυλλον', 'αυτος', 'ου', 'απορεω', 'και', 'πας', 'οσος', 'αν', 'ποιεω', 'κατευοδοω']	['φυλλον', 'απορεω', 'πας', 'οσος', 'ποιεω', 'κατευοδοω']	['απορεω', 'κατευοδοω', 'οσος', 'πας', 'ποιεω', 'φυλλον']	['Case', 'Nature,Class,Example', 'Perform,Do', 'Quantity', 'Be,Become,Exist,Happen', 'Understand', 'Attitudes and Emotions', 'Plants', 'Time', 'Possess,Transfer,Exchange', 'Control,Rule', 'Physiological Processes and States', 'Degree', 'Whole,Unite,Part,Divide', 'Behavior and Related States']	['Cause To Be Safe,Free from Danger', 'Ripen,Produce Fruit,Bear Seed', 'Many,Few Countables', 'A Point of Time without Reference to Other Points of Time: Time,Occasion,Ever,Often', 'State', 'Agent of a Numerable Event', 'Make,Create', 'Much,Little Masses,Collectives,Extensions', 'Behavior,Conduct', 'Earn,Gain,Do Business', 'Duration of Time with Reference to Some Unit of Time: During,In,While,Throughout', 'Understand', 'Non-Fruit Parts of Plants', 'Class,Kind', 'Up To,As Much As,To the Degree That Marked Extent of Degree', 'Exist', 'Whole', 'Duration of Time without Reference to Points or Units of Time: Time,Spend Time,Always,Eternal,Old,Immediately,Young', 'Acceptable To,To Be Pleased With', 'Assign to a Role or Function', 'Do,Perform', 'All,Any,Each,Every Totality', 'Work,Toil', 'Completely,Enough Completive Degree']
Ps_1_4	1	['οὐχ', 'οὕτως', 'οἱ', 'ἀσεβεῖς', 'οὐχ', 'οὕτως', 'ἀλλ', 'ἢ', 'ὡς', 'ὁ', 'χνοῦς', 'ὃν', 'ἐκριπτεῖ', 'ὁ', 'ἄνεμος', 'ἀπὸ', 'προσώπου', 'τῆς', 'γῆς']	['ADV', 'ADV', 'DET', 'ADJ', 'ADV', 'ADV', 'CON', 'CON', 'ADV', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'PREP', 'NOUN', 'DET', 'NOUN']	['ου', 'ουτως', 'ο', 'ασεβης', 'ου', 'ουτως', 'αλλα', 'η', 'ως', 'ο', 'χνους', 'ος', 'εκριπτεω', 'ο', 'ανεμος', 'απο', 'προσωπον', 'ο', 'γη']	['ασεβης', 'χνους', 'εκριπτεω', 'ανεμος', 'προσωπον', 'γη']	['ανεμος', 'ασεβης', 'γη', 'εκριπτεω', 'προσωπον', 'χνους']	['Hold a View,Believe,Trust', 'Moral and Ethical Qualities and Related Behavior', 'Religious Activities', 'People', 'Communication', 'Body,Body Parts,and Body Products', 'Spacial Positions', 'Features of Objects', 'Time', 'Think', 'Natural Substances', 'Physical Events and States', 'Sensory Events and States', 'Existence in Space', 'Geographical Objects and Features']	['To Distinguish,To Evaluate,To Judge', 'Human Beings', 'The Earths Surface', 'Suppose,Think Possible', 'Flatter', 'Universe,Creation', 'Wind', 'Sociopolitical Areas', 'Parts of the Body', 'Earth,Mud,Sand,Rock', 'Religious Practice', 'See', 'To Decide,To Conclude', 'Land in Contrast With the Sea', 'Be in a Place', 'A Point of Time with Reference to Other Points of Time: Before,Long Ago,Now,At the Same Time,When,About,After', 'Two-Dimensional and Three-Dimensional Shapes', 'Show Favoritism,Prejudice', 'In Front Of,Face To Face,In Back Of,Behind']
Ps_1_5	1	['διὰ', 'τοῦτο', 'οὐκ', 'ἀναστήσονται', 'ἀσεβεῖς', 'ἐν', 'κρίσει', 'οὐδὲ', 'ἁμαρτωλοὶ', 'ἐν', 'βουλῇ', 'δικαίων']	['PREP', 'ADJ', 'ADV', 'VERB', 'ADJ', 'PREP', 'NOUN', 'CON', 'ADJ', 'PREP', 'NOUN', 'ADJ']	['δια', 'ουτος', 'ου', 'ανιστημι', 'ασεβης', 'εν', 'κρισις', 'ουδε', 'αμαρτωλος', 'εν', 'βουλη', 'δικαιος']	['ανιστημι', 'ασεβης', 'κρισις', 'αμαρτωλος', 'βουλη', 'δικαιος']	['αμαρτωλος', 'ανιστημι', 'ασεβης', 'βουλη', 'δικαιος', 'κρισις']	['Moral and Ethical Qualities and Related Behavior', 'Religious Activities', 'Punish,Reward', 'Hostility,Strife', 'Communication', 'Be,Become,Exist,Happen', 'Stances and Events Related to Stances', 'Courts and Legal Procedures', 'Think', 'Proper,Improper', 'Physiological Processes and States', 'Linear Movement', 'Association']	['Sin,Wrongdoing,Guilt', 'To Distinguish,To Evaluate,To Judge', 'Establish or Confirm a Relation', 'Rebellion', 'Leave,Depart,Flee,Escape,Send', 'Punish', 'Just,Righteous', 'Live,Die', 'Birth,Procreation', 'Religious Practice', 'Advise', 'Court of Justice', 'Stand', 'Judge,Condemn,Acquit', 'To Intend,To Purpose,To Plan', 'Exist']
Ps_1_6	1	['ὅτι', 'γινώσκει', 'κύριος', 'ὁδὸν', 'δικαίων', 'καὶ', 'ὁδὸς', 'ἀσεβῶν', 'ἀπολεῖται']	['ADV', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'CON', 'NOUN', 'ADJ', 'VERB']	['οτι', 'γινωσκω', 'κυριος', 'οδος', 'δικαιος', 'και', 'οδος', 'ασεβης', 'απολλυμι']	['γινωσκω', 'κυριος', 'οδος', 'δικαιος', 'οδος', 'ασεβης', 'απολλυμι']	['απολλυμι', 'ασεβης', 'γινωσκω', 'δικαιος', 'κυριος', 'οδος']	['Danger,Risk,Safe,Save', 'Learn', 'Ready,Prepared', 'Geographical Objects and Features', 'Hold a View,Believe,Trust', 'Know', 'Status', 'Understand', 'Possess,Transfer,Exchange', 'Proper,Improper', 'Religious Activities', 'Spacial Dimensions', 'Be,Become,Exist,Happen', 'Supernatural Beings and Powers', 'Moral and Ethical Qualities and Related Behavior', 'Violence,Harm,Destroy,Kill', 'Control,Rule', 'Physiological Processes and States', 'Linear Movement', 'Behavior and Related States', 'Association']	['High Status or Rank including persons of high status', 'Have,Possess,Property,Owner', 'Learn the Location of Something', 'Learn', 'Destroy', 'Acknowledge', 'Know', 'Establish or Confirm a Relation', 'Travel,Journey', 'Behavior,Conduct', 'Take,Obtain,Gain,Lose', 'Religious Practice', 'Exist', 'Thoroughfares: Roads,Streets,Paths,etc.', 'Rule,Govern', 'Sexual Relations', 'Just,Righteous', 'Supernatural Beings', 'Live,Die', 'Particular Patterns of Behavior', 'Come To Understand', 'Specific Measures of Length', 'Save in a Religious Sense']
