lemma	domains	subdomains	definitions
αʹ	'[''Number'']'	'[''Number, Countless'']'	The numeric notation for the number one or first
ααρων	'[''Names of Persons and Places'']'	'[''Persons'']'	'[''the elder brother of Moses and Israel’s first high priest'']'
ἄβατος	'[''Names of Persons and Places'']'	'[''Places'']'	a place not easily entered, often wilderness
αβεσσαλωμ	'[''Names of Persons and Places'']'	'[''Persons'']'	Son of King David who rebelled against his father
αβιμελεχ	'[''Names of Persons and Places'']'	'[''Persons'']'	King of Gerar who encountered Abraham and Sarah; also name of a judge of Israel
αβιρων	'[''Names of Persons and Places'']'	'[''Persons'']'	Man who rebelled against Moses alongside Dathan and was swallowed by the earth
ἀβοήθητος	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Help'']'	lacking support or assistance
αβρααμ	'[''Names of Persons and Places'', ''Geographical Objects and Features'']'	'[''Persons'', ''Regions Above the Earth'']'	'[''the patriarch of the Israelite nation and father of the faithful'', ''(an idiom, literally: Abraham’s bosom) the heavenly abode, with the implication of close interpersonal relations'']'
αβυσσος	'[''Geographical Objects and Features'']'	'[''Regions Below the Surface of the Earth'']'	'[''(a figurative extension of meaning of ἄβυσσος ‘pit,’ not occurring in the NT) a location of the dead and a place where the Devil is kept ({S:06602000300012}), the abode of the beast as the antichrist ({S:06601100700026}), and of Abaddon, as the angel of the underworld ({S:06600901100016})'']'
αγαθος	'[''Moral and Ethical Qualities and Related Behavior'', ''Value'', ''Possess, Transfer, Exchange'', ''Possess, Transfer, Exchange'']'	'[''Goodness'', ''Good, Bad'', ''Give'', ''Be Rich, Be Wealthy'']'	'[''positive moral qualities of the most general nature'', ''pertaining to having the proper characteristics or performing the expected function in a fully satisfactory way'', ''pertaining to being generous, with the implication of its relationship to goodness'', ''(pl) possessions which provide material benefits, usually used with reference to movable or storable possessions rather than real estate'']'
ἀγαθύνω	'[''Physical Events and States'']'	'[''Good, Bad'']'	to make good, to do what is beneficial
