Ps	Verse	Part	Text	Trad
1	1	a	Μακάριος ἀνήρ, ὃς οὐκ ἐπορεύθη ἐν βουλῇ ἀσεβῶν	Heureux l'homme qui n'est point allé au conseil des impies qui ne s'est pas arrêté dans la voie des pécheurs et ne s'est point assis dans la chaire de pestilence,
1	1	b	καὶ ἐν ὁδῷ ἁμαρτωλῶν οὐκ ἔστη καὶ ἐπὶ καθέδραν λοιμῶν οὐκ ἐκάθισεν,	Heureux l'homme qui n'est point allé au conseil des impies qui ne s'est pas arrêté dans la voie des pécheurs et ne s'est point assis dans la chaire de pestilence,
1	2	a	ἀλλ’ ἢ ἐν τῷ νόμῳ κυρίου τὸ θέλημα αὐτοῦ	Mais dont la volonté est conforme à la loi du Seigneur, et qui, nuit et jour, méditera sur cette loi.
1	2	b	καὶ ἐν τῷ νόμῳ αὐτοῦ μελετήσει ἡμέρας καὶ νυκτός.	Mais dont la volonté est conforme à la loi du Seigneur, et qui, nuit et jour, méditera sur cette loi.
1	3	a	καὶ ἔσται ὡς τὸ ξύλον τὸ πεϕυτευμένον παρὰ τὰς διεξόδους τῶν ὑδάτων,	Il sera comme l'arbre planté au bord des eaux, et qui donnera son fruit en sa saison ; ses feuilles ne tomberont jamais, et en toutes ses œuvres il prospérera.
1	3	b	ὃ τὸν καρπὸν αὐτοῦ δώσει ἐν καιρῷ αὐτοῦ	Il sera comme l'arbre planté au bord des eaux, et qui donnera son fruit en sa saison ; ses feuilles ne tomberont jamais, et en toutes ses œuvres il prospérera.
1	3	c	καὶ τὸ ϕύλλον αὐτοῦ οὐκ ἀπορρυήσεται· καὶ πάντα, ὅσα ἂν ποιῇ, κατευοδωθήσεται.	Il sera comme l'arbre planté au bord des eaux, et qui donnera son fruit en sa saison ; ses feuilles ne tomberont jamais, et en toutes ses œuvres il prospérera.
1	4		οὐχ οὕτως οἱ ἀσεβεῖς, οὐχ οὕτως, ἀλλ’ ἢ ὡς ὁ χνοῦς, ὃν ἐκριπτεῖ ὁ ἄνεμος ἀπὸ προσώπου τῆς γῆς.	Ils ne sont pas ainsi les impies, ils ne sont pas ainsi ; mais ils sont comme la paille que le vent balaie sur la face de la terre.
1	5		διὰ τοῦτο οὐκ ἀναστήσονται ἀσεβεῖς ἐν κρίσει οὐδὲ ἁμαρτωλοὶ ἐν βουλῇ δικαίων·	C'est pourquoi les impies ne ressusciteront pas dans le jugement, ni les pécheurs dans l'assemblée des justes.
1	6		ὅτι γινώσκει κύριος ὁδὸν δικαίων, καὶ ὁδὸς ἀσεβῶν ἀπολεῖται.	Car le Seigneur connaît la voie des justes ; et la voie des pécheurs périra.
2	1		῞Ινα τί ἐϕρύαξαν ἔθνη καὶ λαοὶ ἐμελέτησαν κενά;	D'où vient que les nations ont frémi et que les peuples ont médité de vains complots ?
2	2	a	παρέστησαν οἱ βασιλεῖς τῆς γῆς, καὶ οἱ ἄρχοντες συνήχθησαν	Les rois de la terre se sont levés, et les chefs se sont réunis ensemble contre le Seigneur et contre son Christ ; (Interlude)
2	2	b	 ἐπὶ τὸ αὐτὸ κατὰ τοῦ κυρίου καὶ κατὰ τοῦ χριστοῦ αὐτοῦ	Les rois de la terre se sont levés, et les chefs se sont réunis ensemble contre le Seigneur et contre son Christ ; (Interlude)
2	2	c	διάψαλμα	interlude
2	3		Διαρρήξωμεν τοὺς δεσμοὺς αὐτῶν καὶ ἀπορρίψωμεν ἀϕ’ ἡμῶν τὸν ζυγὸν αὐτῶν.	Rompons leurs liens, rejetons loin de nous leur joug.
2	4		ὁ κατοικῶν ἐν οὐρανοῖς ἐκγελάσεται αὐτούς, καὶ ὁ κύριος ἐκμυκτηριεῖ αὐτούς.	Celui qui habite aux cieux s'en rira, et le Seigneur se moquera d'eux.
2	5		τότε λαλήσει πρὸς αὐτοὺς ἐν ὀργῇ αὐτοῦ καὶ ἐν τῷ θυμῷ αὐτοῦ ταράξει αὐτούς	Alors il leur parlera dans sa colère ; et il les troublera dans sa fureur.
2	6		’Εγὼ δὲ κατεστάθην βασιλεὺς ὑπ’ αὐτοῦ ἐπὶ Σιων ὄρος τὸ ἅγιον αὐτοῦ	Mais moi, il m'a institué roi de Sion, sa sainte montagne,
2	7	a	διαγγέλλων τὸ πρόσταγμα κυρίου Κύριος εἶπεν πρός με 	Et j'annonce les préceptes du Seigneur.
2	7	b	Υἱός μου εἶ σύ, ἐγὼ σήμερον γεγέννηκά σε·	 Le Seigneur m'a dit : Tu es mon fils ; aujourd'hui je t'ai engendré.
2	8		αἴτησαι παρ’ ἐμοῦ, καὶ δώσω σοι ἔθνη τὴν κληρονομίαν σου καὶ τὴν κατάσχεσίν σου τὰ πέρατα τῆς γῆς·	Demande-moi, et je te donnerai les nations pour héritage, et pour ta possession les limites de la terre.
2	9		ποιμανεῖς αὐτοὺς ἐν ῥάβδῳ σιδηρᾷ, ὡς σκεῦος κεραμέως συντρίψεις αὐτούς.	Tu les gouverneras avec une verge de fer ; tu les briseras comme un vaisseau d'argile.
2	10		καὶ νῦν, βασιλεῖς, σύνετε· παιδεύθητε, πάντες οἱ κρίνοντες τὴν γῆν.	Et maintenant, rois, comprenez ; instruisez-vous, juges de la terre.
2	11		δουλεύσατε τῷ κυρίῳ ἐν ϕόβῳ καὶ ἀγαλλιᾶσθε αὐτῷ ἐν τρόμῳ.	Servez le Seigneur avec crainte, et réjouissez-vous en lui avec tremblement.
2	12	a	δράξασθε παιδείας, μήποτε ὀργισθῇ κύριος καὶ ἀπολεῖσθε ἐξ ὁδοῦ δικαίας. 	Embrassez sa discipline, de peur que le Seigneur ne s'irrite, et que vous ne périssiez hors de la voie juste. 
2	12	b	ὅταν ἐκκαυθῇ ἐν τάχει ὁ θυμὸς αὐτοῦ, μακάριοι πάντες οἱ πεποιθότες ἐπ’ αὐτῷ.	Lorsque soudain s'enflammera sa colère, heureux sont ceux qui ont confiance en lui !
3	1		Ψαλμὸς τῷ Δαυιδ, ὁπότε ἀπεδίδρασκεν ἀπὸ προσώπου Αβεσσαλωμ τοῦ υἱοῦ αὐτοῦ.	Psaume de David, lorsqu'il fuyait de devant son fils Absalom.
3	2		Κύριε, τί ἐπληθύνθησαν οἱ θλίβοντές με; πολλοὶ ἐπανίστανται ἐπ’ ἐμέ·	Seigneur, pourquoi ceux qui m'affligent se sont-ils multipliés ? Combien se soulèvent contre moi !
3	3		πολλοὶ λέγουσιν τῇ ψυχῇ μου Οὐκ ἔστιν σωτηρία αὐτῷ ἐν τῷ θεῷ αὐτοῦ. 	Combien disent à mon âme qu'il n'est point de salut pour elle ! Interlude.
3	3		διάψαλμα.	Combien disent à mon âme qu'il n'est point de salut pour elle ! Interlude.
3	4		σὺ δέ, κύριε, ἀντιλήμπτωρ μου εἶ, δόξα μου καὶ ὑψῶν τὴν κεϕαλήν μου.	Mais toi, Seigneur, tu es mon appui et ma gloire ; c'est toi qui relève ma tête.
3	5		ϕωνῇ μου πρὸς κύριον ἐκέκραξα, καὶ ἐπήκουσέν μου ἐξ ὄρους ἁγίου αὐτοῦ. διάψαλμα.	De ma voix, j'ai crié au Seigneur, et il m'a entendu du haut de sa montagne sainte. Interlude.
3	6		ἐγὼ ἐκοιμήθην καὶ ὕπνωσα· ἐξηγέρθην, ὅτι κύριος ἀντιλήμψεταί μου.	Et je me suis endormi d'un profond sommeil ; je me suis réveillé, car le Seigneur me défendra.
3	7		οὐ ϕοβηθήσομαι ἀπὸ μυριάδων λαοῦ τῶν κύκλῳ συνεπιτιθεμένων μοι.	Je ne craindrai pas la foule du peuple qui m'assiège de tous côtés ;
3	8	a	ἀνάστα, κύριε, σῶσόν με, ὁ θεός μου,	Lève-toi, Seigneur ; sauve-moi, mon Dieu ! 
3	8	b	ὅτι σὺ ἐπάταξας πάντας τοὺς ἐχθραίνοντάς μοι ματαίως, ὀδόντας ἁμαρτωλῶν συνέτριψας.	Car tu as frappé tous ceux qui m'ont poursuivi sans cause, et tu as broyé les dents des pécheurs.
3	9		τοῦ κυρίου ἡ σωτηρία, καὶ ἐπὶ τὸν λαόν σου ἡ εὐλογία σου.	Le salut vient du Seigneur, et ta bénédiction est sur ton peuple.
4	1	b	Εἰς τὸ τέλος, ἐν ψαλμοῖς· ᾠδὴ τῷ Δαυιδ.	Jusqu'à la Fin, dans les psaumes. Un cantique de David.
4	2	a	’Εν τῷ ἐπικαλεῖσθαί με εἰσήκουσέν μου ὁ θεὸς τῆς δικαιοσύνης μου· ἐν θλίψει ἐπλάτυνάς μοι· 	Lorsque je l'eus invoqué, le Dieu de ma justice, il m'exauça ; tu m'as dilaté en mon affliction. 
