verse,lemma,size_lemma,lemma_pos,pos,size_pos
Ps_100_1,"['ὁ', 'Δαβίδ', 'ψαλμός', 'ἔλεος', 'καί', 'κρίσις', 'ᾄδω', 'σοί', 'κύριος']",9,"['ὅτι', 'χρηστός', 'κύριος', 'εἰς', 'ὁ', 'αἰών', 'ὁ', 'ἔλεος', 'αὐτός', 'καί', 'ἕως', 'γενεά', 'καί', 'γενεά', 'ὁ', 'ἀλήθεια', 'αὐτός', 'ὁ', 'Δαυιδ', 'ψαλμός', 'ψάλλω']","['ADV', 'ADJ', 'ADJ', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'PRON', 'CCONJ', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'DET', 'NOUN', 'PRON', 'DET', 'NOUN', 'NOUN', 'VERB']",21
Ps_100_2,"['ψάλλω', 'καί', 'συνίημι', 'ἐν', 'ὁδός', 'ἄμωμος', 'πότε', 'ἥκω', 'πρός', 'μέ', 'διαπορεύομαι', 'ἐν', 'ἀκακία', 'καρδία', 'μου', 'ἐν', 'μέσος', 'ὁ', 'οἶκος', 'μου']",20,"['῎Ελος', 'καί', 'κρίσιν', 'ᾄσομαί', 'σύ', 'κύριε·', ' ', 'καί', 'συνήσω', 'ἐν', 'ὁδός', 'ἀμώμῳ·', 'πότε', 'ἥκω', 'πρός', 'ἐγώ']","['NOUN', 'CCONJ', 'VERB', 'VERB', 'PRON', 'NOUN', 'VERB', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'PRON']",16
Ps_100_3,"['οὐ', 'προτίθημι', 'πρό', 'ὀφθαλμός', 'μου', 'πρᾶγμα', 'παράνομος', 'ποιέω', 'παράβασις', 'μισέω']",10,"['διεπορευόμη', 'ἐν', 'ἀκακίᾳ', 'καρδίας', 'ἐγώ', 'ἐν', 'μέσῳς', 'ὁ', 'οἶκος', 'ἐγώ']","['NOUN', 'ADP', 'NOUN', 'NOUN', 'PRON', 'ADP', 'NOUN', 'DET', 'NOUN', 'PRON']",10
Ps_100_4,"['οὐ', 'κολλάω', 'μοι', 'καρδία', 'σκαμβή', 'ἐκκλίνω', 'ἀπό', 'ἐμοῦ', 'ὁ', 'πονηρός', 'οὐ', 'γινώσκω']",12,"['οὐ', 'προεθέμην', 'πρό', 'ὀϕθαλμῶν', 'ἐγώ', 'πρᾶγμα', 'παράνομος', 'ποιέω', 'παραβάσω', 'ἐμίσησα·']","['ADV', 'VERB', 'ADP', 'NOUN', 'PRON', 'NOUN', 'ADJ', 'VERB', 'VERB', 'VERB']",10
Ps_100_5,"['ὁ', 'καταλαλέω', 'λάθρα', 'ὁ', 'πλησίον', 'αὐτός', 'οὗτος', 'ἐκδιώκω', 'ὑπερήφανος', 'ὀφθαλμός', 'καί', 'ἄπληστος', 'καρδία', 'οὗτος', 'οὐ', 'συνεσθίω']",16,"['οὐ', 'ἐκολλήθη', 'ἐγώ', 'καρδία', 'σκασμβή', 'ἐκκλίνοντος', 'ἀπ', 'ά', 'ἐγώ', 'ὁ', 'πονηρός', 'οὐ', 'ἐγίνωσκον', 'ὁ', 'καταλαλέω', 'λάθρᾳ', 'ὁ', 'πλησίον', 'αὐτός', 'οὗτος', 'ἐξεδίωκον·']","['ADV', 'ADJ', 'PRON', 'NOUN', 'ADV', 'ADJ', 'ADP', 'ADP', 'PRON', 'DET', 'ADJ', 'ADV', 'VERB', 'DET', 'VERB', 'NOUN', 'DET', 'NOUN', 'ADJ', 'ADJ', 'NUM']",21
Ps_100_6,"['ὁ', 'ὀφθαλμός', 'μου', 'ἐπί', 'ὁ', 'πιστός', 'ὁ', 'γῆ', 'ὁ', 'συγκάθημαι', 'αὐτός', 'μετά', 'ἐμοῦ', 'πορεύομαι', 'ἐν', 'ὁδός', 'ἄμωμος', 'οὗτος', 'μοι', 'λειτουργέω']",20,"['ὑπερηϕάνῳ', 'ὀϕθαλμός', 'καί', 'ἀπλήστῳ', 'καρδίᾳ', 'τούτῳ', 'οὐ', 'συνήσθιος']","['VERB', 'NOUN', 'CCONJ', 'ADJ', 'VERB', 'VERB', 'ADV', 'ADJ']",8
Ps_100_7,"['οὐ', 'κατοικέω', 'ἐν', 'μέσος', 'ὁ', 'οἰκία', 'μου', 'ποιέω', 'ὑπερηφανία', 'λαλέω', 'ἄδικος', 'οὐ', 'κατευθύνω', 'ἐναντίον', 'ὁ', 'ὀφθαλμός', 'μου']",17,"['ὁ', 'ὀϕθαλμοί', 'ἐγώ', 'ἐπί', 'ὁ', 'πιστός', 'ὁ', 'γῆ', 'ὁ', 'συγκαθῆσθαι', 'αὐτός', 'μετά', 'ἐμοῦ·', 'πορευόμενος', 'ἐν', 'ὁδός', 'ἀμώμῳ', 'οὗτός', 'ἐγώ', 'ἐλειτούργω']","['DET', 'NOUN', 'PRON', 'ADP', 'DET', 'ADJ', 'DET', 'NOUN', 'DET', 'VERB', 'PRON', 'ADP', 'VERB', 'VERB', 'ADP', 'NOUN', 'ADJ', 'ADV', 'PRON', 'VERB']",20
Ps_100_8,"['εἰς', 'ὁ', 'πρώιος', 'ἀποκτείνω', 'πᾶς', 'ὁ', 'ἁμαρτωλός', 'ὁ', 'γῆ', 'ὁ', 'ἐξολοθρεύω', 'ἐκ', 'πόλις', 'κύριος', 'πᾶς', 'ὁ', 'ἐργάζομαι', 'ὁ', 'ἀνομία']",19,"['οὐ', 'κατῴκω', 'ἐν', 'μέσῳς', 'ὁ', 'οἰκίας', 'ἐγώ', 'ποιέω', 'ὑπερηϕανίαν', 'λαλέω', 'ἄδικος', 'οὐ', 'κατεύθυνω', 'ἐναντίον', 'ὁ', 'ὀϕθαλμόν', 'ἐγώ']","['ADV', 'VERB', 'ADP', 'PROPN', 'DET', 'NOUN', 'PRON', 'VERB', 'ADV', 'VERB', 'VERB', 'ADV', 'VERB', 'NOUN', 'DET', 'NOUN', 'PRON']",17
Ps_101_1,"['προσευχή', 'ὁ', 'πτωχός', 'ὅταν', 'ἀκηδιάω', 'καί', 'ἐναντίον', 'κύριος', 'ἐκχέω', 'ὁ', 'δέησις', 'αὐτός']",12,"['εἰς', 'ὁ', 'πρωίας', 'ἀπέκτεννον', 'πάντας', 'ὁ', 'ἁμαρτωλός', 'ὁ', 'γῆ', 'ὁ', 'ἐξολεθρεῦω', 'ἐκ', 'πόλις', 'κυρίου', 'πάντας', 'ὁ', 'ἐργαζομένους', 'ὁ', 'ἀνομίαν']","['ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'DET', 'ADJ', 'DET', 'NOUN', 'DET', 'VERB', 'ADP', 'NOUN', 'VERB', 'VERB', 'DET', 'VERB', 'DET', 'VERB']",19
Ps_101_10,"['ὅτι', 'σποδός', 'ὡσεί', 'ἄρτος', 'φάγω', 'καί', 'ὁ', 'πόμα', 'μου', 'μετά', 'κλαυθμός', 'κιρνάω']",12,"['ὅλος', 'ὁ', 'ἡμέρα', 'ὠνείδιζός', 'ἐγώ', 'ἕ', 'ἐχθροί', 'ἐγώ', 'καί', 'ὁ', 'ἐπαινοῦντές', 'ἐγώ', 'κατά', 'ἐγώ', 'ὤμνυον']","['ADJ', 'DET', 'NOUN', 'VERB', 'PRON', 'PRON', 'VERB', 'PRON', 'CCONJ', 'DET', 'NUM', 'PRON', 'ADP', 'PRON', 'VERB']",15
